model_a,model_b,facet,net_eppd_delta,ci_low,ci_high,win_rate_a,deals_total
modeloespecifico,modeloespecifico,pooled,-1.12,-2.32,0.1,0.36,50
modeloespecifico,modeloespecifico,suit,-1.2653,-2.4694,-0.102,0.3469,49
modeloespecifico,modeloespecifico,low,6.0,6.0,6.0,1.0,1
modeloespecifico,modeloespecifico,bid_type:regular,-1.12,-2.32,0.1,0.36,50
modeloespecifico,selected_two_stage_av,pooled,0.26,-1.3,1.82,0.54,50
modeloespecifico,selected_two_stage_av,suit,0.3953,-1.2326,1.9773,0.5814,43
modeloespecifico,selected_two_stage_av,high,-6.0,-6.0,-6.0,0.0,1
modeloespecifico,selected_two_stage_av,low,0.3333,-4.6667,6.0,0.3333,6
modeloespecifico,selected_two_stage_av,bid_type:regular,0.26,-1.3,1.82,0.54,50
selected_two_stage_av,modeloespecifico,pooled,-1.5,-2.86,-0.1,0.36,50
selected_two_stage_av,modeloespecifico,suit,-1.3333,-2.6923,0.0769,0.3333,39
selected_two_stage_av,modeloespecifico,high,5.0,2.0,8.0,1.0,2
selected_two_stage_av,modeloespecifico,low,-3.6667,-7.7778,0.2222,0.3333,9
selected_two_stage_av,modeloespecifico,bid_type:regular,-1.5,-2.86,-0.1,0.36,50
modeloespecifico,gbt_av,pooled,-0.28,-2.28,1.84,0.3,50
modeloespecifico,gbt_av,suit,-0.0345,-2.6897,2.7931,0.3448,29
modeloespecifico,gbt_av,high,-0.6667,-4.5,3.9167,0.25,12
modeloespecifico,gbt_av,low,-0.5556,-4.4444,4.1111,0.2222,9
modeloespecifico,gbt_av,bid_type:regular,-0.28,-2.28,1.84,0.3,50
gbt_av,modeloespecifico,pooled,-2.14,-4.2,-0.1195,0.5,50
gbt_av,modeloespecifico,suit,-2.9565,-5.8261,-0.1304,0.4348,23
gbt_av,modeloespecifico,high,-1.7143,-6.7143,2.2857,0.4286,7
gbt_av,modeloespecifico,low,-1.35,-4.9,2.1,0.6,20
gbt_av,modeloespecifico,bid_type:regular,-2.14,-4.2,-0.1195,0.5,50
modeloespecifico,constrained_ols_av,pooled,0.24,-1.12,1.52,0.58,50
modeloespecifico,constrained_ols_av,suit,0.5909,-0.8182,1.8864,0.6364,44
modeloespecifico,constrained_ols_av,high,-7.0,-8.0,-6.0,0.0,2
modeloespecifico,constrained_ols_av,low,0.0,-3.0,4.0,0.25,4
modeloespecifico,constrained_ols_av,bid_type:regular,0.24,-1.12,1.52,0.58,50
constrained_ols_av,modeloespecifico,pooled,-1.8,-2.94,-0.54,0.2,50
constrained_ols_av,modeloespecifico,suit,-1.8723,-3.0426,-0.5745,0.1915,47
constrained_ols_av,modeloespecifico,low,-0.6667,-4.0,6.0,0.3333,3
constrained_ols_av,modeloespecifico,bid_type:regular,-1.8,-2.94,-0.54,0.2,50
modeloespecifico,selected_ols_av,pooled,0.92,-0.58,2.44,0.58,50
modeloespecifico,selected_ols_av,suit,1.0541,-0.5953,2.5946,0.6757,37
modeloespecifico,selected_ols_av,high,-6.0,-6.0,-6.0,0.0,1
modeloespecifico,selected_ols_av,low,1.0833,-2.5021,5.0833,0.3333,12
modeloespecifico,selected_ols_av,bid_type:regular,0.92,-0.58,2.44,0.58,50
selected_ols_av,modeloespecifico,pooled,-1.52,-2.9,-0.1395,0.36,50
selected_ols_av,modeloespecifico,suit,-1.7188,-3.0633,-0.2812,0.25,32
selected_ols_av,modeloespecifico,high,5.0,2.0,8.0,1.0,2
selected_ols_av,modeloespecifico,low,-1.9375,-5.0,1.0,0.5,16
selected_ols_av,modeloespecifico,bid_type:regular,-1.52,-2.9,-0.1395,0.36,50
modeloespecifico,full_ols_av,pooled,-0.86,-2.64,1.02,0.26,50
modeloespecifico,full_ols_av,suit,-0.913,-2.7609,1.0217,0.2609,46
modeloespecifico,full_ols_av,high,-6.0,-6.0,-6.0,0.0,1
modeloespecifico,full_ols_av,low,1.6667,-4.0,11.0,0.3333,3
