model,contract,tricks_won,count,fraction,source
modeloespecifico,suit,5,7050,1.0,synthetic
modeloespecifico,high,5,210,1.0,synthetic
modeloespecifico,low,5,240,1.0,synthetic
selected_two_stage_av,suit,5,7194,1.0,synthetic
selected_two_stage_av,high,5,108,1.0,synthetic
selected_two_stage_av,low,5,198,1.0,synthetic
gbt_av,suit,5,5235,1.0,synthetic
gbt_av,high,5,636,1.0,synthetic
gbt_av,low,5,1629,1.0,synthetic
constrained_ols_av,suit,5,5811,1.0,synthetic
constrained_ols_av,high,5,414,1.0,synthetic
constrained_ols_av,low,5,1275,1.0,synthetic
selected_ols_av,suit,5,5625,1.0,synthetic
selected_ols_av,high,5,708,1.0,synthetic
selected_ols_av,low,5,1167,1.0,synthetic
full_ols_av,suit,5,1410,1.0,synthetic
full_ols_av,high,5,1584,1.0,synthetic
full_ols_av,low,5,4506,1.0,synthetic
stricthellraiser,suit,5,7500,1.0,synthetic
rankthetank,suit,5,7500,1.0,synthetic
anchor_hybrid_r0_full,suit,5,4794,1.0,synthetic
anchor_hybrid_r0_full,high,5,609,1.0,synthetic
anchor_hybrid_r0_full,low,5,834,1.0,synthetic
