model_a,model_b,facet,net_eppd_delta,ci_low,ci_high,win_rate_a,deals_total
modeloespecifico,modeloespecifico,pooled,-1.12,-2.32,0.1,0.36,50
modeloespecifico,modeloespecifico,suit,-1.2653,-2.4694,-0.102,0.3469,49
modeloespecifico,modeloespecifico,low,6.0,6.0,6.0,1.0,1
modeloespecifico,modeloespecifico,bid_type:regular,-1.12,-2.32,0.1,0.36,50
modeloespecifico,selected_two_stage_av,pooled,0.9,-0.78,2.6,0.52,50
modeloespecifico,selected_two_stage_av,suit,1.0714,-0.7143,2.881,0.5476,42
modeloespecifico,selected_two_stage_av,high,-6.0,-6.0,-6.0,0.0,1
modeloespecifico,selected_two_stage_av,low,0.8571,-3.4286,5.4286,0.4286,7
modeloespecifico,selected_two_stage_av,bid_type:regular,0.9,-0.78,2.6,0.52,50
selected_two_stage_av,modeloespecifico,pooled,-1.92,-3.36,-0.5,0.38,50
selected_two_stage_av,modeloespecifico,suit,-2.0889,-3.6444,-0.5778,0.3778,45
selected_two_stage_av,modeloespecifico,low,-0.4,-3.2,2.4,0.4,5
selected_two_stage_av,modeloespecifico,bid_type:regular,-1.92,-3.36,-0.5,0.38,50
modeloespecifico,gbt_av,pooled,-0.08,-2.8,2.72,0.32,50
modeloespecifico,gbt_av,suit,-0.6,-3.5667,2.4,0.3333,30
modeloespecifico,gbt_av,high,-4.4444,-11.3333,2.4444,0.2222,9
modeloespecifico,gbt_av,low,4.9091,-1.5455,12.3636,0.3636,11
modeloespecifico,gbt_av,bid_type:regular,0.0667,-2.0444,2.2889,0.3111,45
modeloespecifico,gbt_av,bid_type:moon,-1.4,-20.0,17.4,0.4,5
gbt_av,modeloespecifico,pooled,-1.52,-4.12,1.0,0.54,50
gbt_av,modeloespecifico,suit,-1.375,-4.9167,2.1667,0.5417,24
gbt_av,modeloespecifico,high,-3.125,-10.0,3.125,0.5,8
gbt_av,modeloespecifico,low,-1.0,-5.1111,3.3333,0.5556,18
gbt_av,modeloespecifico,bid_type:regular,-1.6087,-3.7826,0.5217,0.5435,46
gbt_av,modeloespecifico,bid_type:moon,-0.5,-21.0,20.0,0.5,4
modeloespecifico,constrained_ols_av,pooled,0.12,-1.26,1.42,0.58,50
modeloespecifico,constrained_ols_av,suit,0.4545,-0.9545,1.7955,0.6364,44
modeloespecifico,constrained_ols_av,high,-7.0,-8.0,-6.0,0.0,2
modeloespecifico,constrained_ols_av,low,0.0,-3.0,4.0,0.25,4
modeloespecifico,constrained_ols_av,bid_type:regular,0.12,-1.26,1.42,0.58,50
constrained_ols_av,modeloespecifico,pooled,-1.8,-2.94,-0.54,0.2,50
constrained_ols_av,modeloespecifico,suit,-1.8723,-3.0426,-0.5745,0.1915,47
constrained_ols_av,modeloespecifico,low,-0.6667,-4.0,6.0,0.3333,3
constrained_ols_av,modeloespecifico,bid_type:regular,-1.8,-2.94,-0.54,0.2,50
modeloespecifico,selected_ols_av,pooled,0.52,-0.9405,2.0,0.54,50
modeloespecifico,selected_ols_av,suit,0.7317,-0.8537,2.2927,0.5854,41
modeloespecifico,selected_ols_av,high,-5.0,-6.0,-4.0,0.0,2
modeloespecifico,selected_ols_av,low,0.8571,-3.4286,5.4286,0.4286,7
modeloespecifico,selected_ols_av,bid_type:regular,0.52,-0.9405,2.0,0.54,50
selected_ols_av,modeloespecifico,pooled,-1.42,-2.8,-0.04,0.36,50
selected_ols_av,modeloespecifico,suit,-1.7442,-3.3023,-0.139,0.3256,43
selected_ols_av,modeloespecifico,low,0.5714,-1.7214,2.8571,0.5714,7
selected_ols_av,modeloespecifico,bid_type:regular,-1.42,-2.8,-0.04,0.36,50
modeloespecifico,full_ols_av,pooled,-0.68,-2.44,1.16,0.3,50
modeloespecifico,full_ols_av,suit,-0.7872,-2.5745,1.1489,0.2979,47
modeloespecifico,full_ols_av,high,-6.0,-6.0,-6.0,0.0,1
modeloespecifico,full_ols_av,low,4.5,-2.0,11.0,0.5,2
