model,tier,mean_delta,mean_win_rate,n_opponents
anchor_hybrid_r0_full,smart,-0.85,0.45,4
anchor_hybrid_r0_full,heuristic,4.1933,0.62,3
constrained_ols_av,smart,0.3067,0.4867,3
constrained_ols_av,anchor,-1.62,0.24,1
constrained_ols_av,heuristic,2.96,0.48,3
full_ols_av,smart,0.02,0.5333,3
full_ols_av,anchor,-1.84,0.38,1
full_ols_av,heuristic,2.6467,0.6067,3
gbt_av,smart,-0.58,0.545,4
gbt_av,anchor,-1.34,0.56,1
gbt_av,heuristic,3.84,0.6933,3
modeloespecifico,smart,0.215,0.485,4
modeloespecifico,anchor,-1.18,0.36,1
modeloespecifico,heuristic,6.93,0.7,2
rankthetank,smart,-10.825,0.085,4
rankthetank,anchor,-11.34,0.06,1
rankthetank,heuristic,-0.35,0.46,2
selected_ols_av,smart,-1.1,0.3467,3
selected_ols_av,anchor,-1.64,0.3,1
selected_ols_av,heuristic,2.92,0.58,3
selected_two_stage_av,smart,-0.7133,0.3733,3
selected_two_stage_av,anchor,-2.02,0.32,1
selected_two_stage_av,heuristic,2.9333,0.6,3
stricthellraiser,smart,-1.51,0.37,4
stricthellraiser,anchor,-6.28,0.2,1
stricthellraiser,heuristic,-9.31,0.18,2
