model,contract,tricks_won,count,fraction,source
modeloespecifico,suit,5,2350,1.0,synthetic
modeloespecifico,high,5,70,1.0,synthetic
modeloespecifico,low,5,80,1.0,synthetic
selected_two_stage_av,suit,5,2398,1.0,synthetic
selected_two_stage_av,high,5,36,1.0,synthetic
selected_two_stage_av,low,5,66,1.0,synthetic
gbt_av,suit,5,1745,1.0,synthetic
gbt_av,high,5,212,1.0,synthetic
gbt_av,low,5,543,1.0,synthetic
constrained_ols_av,suit,5,1937,1.0,synthetic
constrained_ols_av,high,5,138,1.0,synthetic
constrained_ols_av,low,5,425,1.0,synthetic
selected_ols_av,suit,5,1875,1.0,synthetic
selected_ols_av,high,5,236,1.0,synthetic
selected_ols_av,low,5,389,1.0,synthetic
full_ols_av,suit,5,470,1.0,synthetic
full_ols_av,high,5,528,1.0,synthetic
full_ols_av,low,5,1502,1.0,synthetic
stricthellraiser,suit,5,2500,1.0,synthetic
rankthetank,suit,5,2500,1.0,synthetic
anchor_hybrid_r0_full,suit,5,1598,1.0,synthetic
anchor_hybrid_r0_full,high,5,203,1.0,synthetic
anchor_hybrid_r0_full,low,5,278,1.0,synthetic
