model,tier,mean_delta,mean_win_rate,n_opponents
anchor_hybrid_r0_full,smart,-0.765,0.43,4
anchor_hybrid_r0_full,heuristic,4.1933,0.62,3
constrained_ols_av,smart,-0.4867,0.3733,3
constrained_ols_av,anchor,-1.46,0.26,1
constrained_ols_av,heuristic,3.04,0.4867,3
full_ols_av,smart,-1.64,0.3733,3
full_ols_av,anchor,-1.98,0.26,1
full_ols_av,heuristic,2.2133,0.5067,3
gbt_av,smart,-4.23,0.405,4
gbt_av,anchor,-5.46,0.28,1
gbt_av,heuristic,1.7,0.5667,3
modeloespecifico,smart,-0.06,0.465,4
modeloespecifico,anchor,-1.18,0.36,1
modeloespecifico,heuristic,6.93,0.7,2
rankthetank,smart,-11.37,0.065,4
rankthetank,anchor,-11.34,0.06,1
rankthetank,heuristic,-0.35,0.46,2
selected_ols_av,smart,-0.4267,0.42,3
selected_ols_av,anchor,-1.74,0.24,1
selected_ols_av,heuristic,2.6733,0.5133,3
selected_two_stage_av,smart,-0.48,0.4733,3
selected_two_stage_av,anchor,-1.9,0.26,1
selected_two_stage_av,heuristic,3.62,0.6,3
stricthellraiser,smart,-3.175,0.35,4
stricthellraiser,anchor,-6.28,0.2,1
stricthellraiser,heuristic,-9.31,0.18,2
