model,check_name,value,lower_bound,upper_bound,status
modeloespecifico,bid_rate_range,1.0,0.05,0.95,FAIL
modeloespecifico,make_rate_range,0.9496,0.1,1.0,PASS
selected_two_stage_av,bid_rate_range,1.0,0.05,0.95,FAIL
selected_two_stage_av,make_rate_range,0.998,0.1,1.0,PASS
gbt_av,bid_rate_range,0.9256,0.05,0.95,PASS
gbt_av,make_rate_range,0.9922,0.1,1.0,PASS
constrained_ols_av,bid_rate_range,1.0,0.05,0.95,FAIL
constrained_ols_av,make_rate_range,1.0,0.1,1.0,PASS
selected_ols_av,bid_rate_range,1.0,0.05,0.95,FAIL
selected_ols_av,make_rate_range,1.0,0.1,1.0,PASS
full_ols_av,bid_rate_range,1.0,0.05,0.95,FAIL
full_ols_av,make_rate_range,1.0,0.1,1.0,PASS
stricthellraiser,bid_rate_range,1.0,0.05,0.95,FAIL
stricthellraiser,make_rate_range,0.9472,0.1,1.0,PASS
rankthetank,bid_rate_range,1.0,0.05,0.95,FAIL
rankthetank,make_rate_range,0.1476,0.1,1.0,PASS
constrained_ols_av,r2_positive_high,0.5308,0.0,1.0,PASS
constrained_ols_av,r2_positive_low,0.5014,0.0,1.0,PASS
constrained_ols_av,r2_positive_pass,0.0027,0.0,1.0,PASS
constrained_ols_av,r2_positive_suit,0.5548,0.0,1.0,PASS
full_ols_av,r2_positive_high,0.5335,0.0,1.0,PASS
full_ols_av,r2_positive_low,0.5159,0.0,1.0,PASS
full_ols_av,r2_positive_pass,0.0235,0.0,1.0,PASS
full_ols_av,r2_positive_suit,0.5705,0.0,1.0,PASS
gbt_av,r2_positive_high,0.5513,0.0,1.0,PASS
gbt_av,r2_positive_low,0.5406,0.0,1.0,PASS
gbt_av,r2_positive_pass,0.0257,0.0,1.0,PASS
gbt_av,r2_positive_suit,0.6028,0.0,1.0,PASS
selected_ols_av,r2_positive_high,0.5308,0.0,1.0,PASS
selected_ols_av,r2_positive_low,0.5034,0.0,1.0,PASS
selected_ols_av,r2_positive_pass,0.0154,0.0,1.0,PASS
selected_ols_av,r2_positive_suit,0.5545,0.0,1.0,PASS
selected_two_stage_av,r2_positive_high,0.5308,0.0,1.0,PASS
selected_two_stage_av,r2_positive_low,0.5034,0.0,1.0,PASS
selected_two_stage_av,r2_positive_pass,0.0154,0.0,1.0,PASS
selected_two_stage_av,r2_positive_suit,0.0,0.0,1.0,FAIL
