model,tier,mean_delta,mean_win_rate,n_opponents
anchor_hybrid_r0_full,smart,-0.3563,0.4599,4
anchor_hybrid_r0_full,heuristic,4.606,0.6147,3
constrained_ols_av,smart,-0.1572,0.3913,3
constrained_ols_av,anchor,-0.0548,0.3684,1
constrained_ols_av,heuristic,3.4712,0.494,3
full_ols_av,smart,-0.7812,0.3144,3
full_ols_av,anchor,0.0768,0.3824,1
full_ols_av,heuristic,3.5113,0.514,3
gbt_av,smart,1.3008,0.6121,4
gbt_av,anchor,1.0528,0.5584,1
gbt_av,heuristic,4.6177,0.6692,3
modeloespecifico,smart,0.762,0.5521,4
modeloespecifico,anchor,0.232,0.4548,1
modeloespecifico,heuristic,7.536,0.7172,2
rankthetank,smart,-10.52,0.1024,4
rankthetank,anchor,-10.4936,0.1024,1
rankthetank,heuristic,0.7938,0.5086,2
selected_ols_av,smart,-0.1535,0.3931,3
selected_ols_av,anchor,0.074,0.39,1
selected_ols_av,heuristic,3.626,0.5076,3
selected_two_stage_av,smart,0.8991,0.5477,3
selected_two_stage_av,anchor,0.2076,0.4316,1
selected_two_stage_av,heuristic,4.2311,0.5871,3
stricthellraiser,smart,-2.0346,0.3916,4
stricthellraiser,anchor,-4.5468,0.308,1
stricthellraiser,heuristic,-8.83,0.2102,2
