model_a,model_b,facet,net_eppd_delta,ci_low,ci_high,win_rate_a,deals_total
modeloespecifico,modeloespecifico,pooled,-0.1724,-0.3716,0.0256,0.4204,2500
modeloespecifico,modeloespecifico,suit,-0.16,-0.3681,0.0438,0.4209,2350
modeloespecifico,modeloespecifico,high,-0.6,-1.9714,0.8,0.4429,70
modeloespecifico,modeloespecifico,low,-0.1625,-1.4125,1.05,0.3875,80
modeloespecifico,selected_two_stage_av,pooled,-0.0056,-0.2148,0.2076,0.4236,2500
modeloespecifico,selected_two_stage_av,suit,-0.0237,-0.2427,0.1924,0.4186,2365
modeloespecifico,selected_two_stage_av,high,-0.1765,-1.9216,1.6275,0.5294,51
modeloespecifico,selected_two_stage_av,low,0.6071,-0.631,1.8452,0.5,84
selected_two_stage_av,modeloespecifico,pooled,-0.3428,-0.5492,-0.1348,0.4408,2500
selected_two_stage_av,modeloespecifico,suit,-0.2842,-0.4966,-0.0705,0.4463,2382
selected_two_stage_av,modeloespecifico,high,-2.3636,-3.9091,-0.7273,0.2727,44
selected_two_stage_av,modeloespecifico,low,-1.027,-2.2703,0.1757,0.3649,74
modeloespecifico,gbt_av,pooled,-1.0188,-1.2392,-0.7928,0.304,2500
modeloespecifico,gbt_av,suit,-0.8023,-1.0518,-0.556,0.3389,1912
modeloespecifico,gbt_av,high,-2.5369,-3.2857,-1.7734,0.1478,203
modeloespecifico,gbt_av,low,-1.2935,-1.9144,-0.6286,0.213,385
gbt_av,modeloespecifico,pooled,0.642,0.4132,0.874,0.568,2500
gbt_av,modeloespecifico,suit,0.4485,0.1908,0.7005,0.5301,1913
gbt_av,modeloespecifico,high,1.505,0.6337,2.3416,0.6931,202
gbt_av,modeloespecifico,low,1.1506,0.4675,1.8104,0.6909,385
modeloespecifico,constrained_ols_av,pooled,1.1416,0.958,1.324,0.6172,2500
modeloespecifico,constrained_ols_av,suit,1.2263,1.0329,1.4174,0.6296,2214
modeloespecifico,constrained_ols_av,high,-0.1,-1.22,0.99,0.52,100
modeloespecifico,constrained_ols_av,low,0.8011,0.0753,1.5216,0.5215,186
constrained_ols_av,modeloespecifico,pooled,-1.3736,-1.5492,-1.1916,0.2196,2500
constrained_ols_av,modeloespecifico,suit,-1.3924,-1.583,-1.2009,0.2085,2240
constrained_ols_av,modeloespecifico,high,-1.6375,-2.775,-0.5,0.3125,80
constrained_ols_av,modeloespecifico,low,-1.0222,-1.7333,-0.2722,0.3167,180
modeloespecifico,selected_ols_av,pooled,0.8048,0.6136,0.9972,0.5648,2500
modeloespecifico,selected_ols_av,suit,0.9245,0.7237,1.1249,0.5842,2186
modeloespecifico,selected_ols_av,high,-0.8908,-1.9328,0.1513,0.395,119
modeloespecifico,selected_ols_av,low,0.4974,-0.2256,1.2256,0.4513,195
selected_ols_av,modeloespecifico,pooled,-1.1904,-1.3696,-1.0016,0.2604,2500
selected_ols_av,modeloespecifico,suit,-1.2529,-1.4474,-1.0557,0.2425,2206
selected_ols_av,modeloespecifico,high,-0.2857,-1.3125,0.7679,0.4464,112
selected_ols_av,modeloespecifico,low,-0.989,-1.7527,-0.2308,0.3626,182
modeloespecifico,full_ols_av,pooled,1.0696,0.8852,1.256,0.5932,2500
modeloespecifico,full_ols_av,suit,1.1784,0.9765,1.3751,0.6198,2125
modeloespecifico,full_ols_av,high,0.0377,-1.0755,1.1509,0.4906,106
