model,tier,mean_delta,mean_win_rate,n_opponents
anchor_hybrid_r0_full,smart,-0.1653,0.4685,2
anchor_hybrid_r0_full,heuristic,-0.4502,0.4135,1
full_ols_av,smart,-0.8316,0.2844,1
full_ols_av,anchor,0.0503,0.3799,1
full_ols_av,heuristic,-1.0983,0.2526,1
gbt_av,smart,1.1086,0.6044,2
gbt_av,anchor,0.7028,0.5309,1
gbt_av,heuristic,0.5318,0.5568,1
modeloespecifico,smart,0.6116,0.5209,2
modeloespecifico,anchor,0.3998,0.4741,1
selected_two_stage_av,smart,0.7891,0.5471,1
selected_two_stage_av,anchor,0.1845,0.4244,1
selected_two_stage_av,heuristic,-0.2179,0.4311,1
