model,contract,r_squared,mae,n_train,n_val
constrained_ols_av,suit,0.5706,4.0174,2340,228
constrained_ols_av,high,0.491,5.6478,585,57
constrained_ols_av,low,0.4609,5.0205,585,57
constrained_ols_av,pass,-0.0238,4.5,80,8
full_ols_av,high,0.5248,4.2199,1229966,153083
full_ols_av,low,0.5092,4.2467,1229966,153083
full_ols_av,pass,0.0147,3.6858,160000,20000
full_ols_av,suit,0.5563,4.076,4919864,612332
gbt_av,high,0.5541,3.8115,1229966,153083
gbt_av,low,0.5389,3.8555,1229966,153083
gbt_av,pass,0.0151,3.6943,160000,20000
gbt_av,suit,0.5885,3.6053,4919864,612332
selected_ols_av,suit,0.5596,4.0561,2340,228
selected_ols_av,high,0.5999,5.149,585,57
selected_ols_av,low,0.4796,4.8782,585,57
selected_ols_av,pass,-0.1387,4.6576,80,8
selected_two_stage_av,high,0.5205,4.2344,1229966,153083
selected_two_stage_av,low,0.5055,4.2598,1229966,153083
selected_two_stage_av,pass,0.012,3.6861,160000,20000
selected_two_stage_av,suit,,,4919864,612332
