model,tier,mean_delta,mean_win_rate,n_opponents
anchor_hybrid_r0_full,smart,-0.1232,0.4824,4
anchor_hybrid_r0_full,heuristic,4.606,0.6147,3
constrained_ols_av,smart,-0.016,0.4015,3
constrained_ols_av,anchor,-0.0968,0.3652,1
constrained_ols_av,heuristic,3.0368,0.4604,3
full_ols_av,smart,-0.7355,0.3155,3
full_ols_av,anchor,-0.1752,0.3512,1
full_ols_av,heuristic,2.9772,0.4655,3
gbt_av,smart,1.5477,0.5879,4
gbt_av,anchor,0.49,0.4396,1
gbt_av,heuristic,4.0324,0.5801,3
modeloespecifico,smart,1.5777,0.6562,4
modeloespecifico,anchor,0.232,0.4548,1
modeloespecifico,heuristic,7.536,0.7172,2
rankthetank,smart,-10.52,0.1024,4
rankthetank,anchor,-10.4936,0.1024,1
rankthetank,heuristic,0.7938,0.5086,2
selected_ols_av,smart,-0.5716,0.3367,3
selected_ols_av,anchor,-0.2012,0.3524,1
selected_ols_av,heuristic,2.982,0.4585,3
selected_two_stage_av,smart,1.1348,0.5743,3
selected_two_stage_av,anchor,-0.1196,0.37,1
selected_two_stage_av,heuristic,3.9328,0.5152,3
stricthellraiser,smart,-1.3291,0.4071,4
stricthellraiser,anchor,-4.5468,0.308,1
stricthellraiser,heuristic,-8.83,0.2102,2
