model,contract,tricks_won,count,fraction,source
modeloespecifico,suit,5,49,1.0,synthetic
modeloespecifico,low,5,1,1.0,synthetic
selected_two_stage_av,suit,5,36,1.0,synthetic
selected_two_stage_av,high,5,1,1.0,synthetic
selected_two_stage_av,low,5,13,1.0,synthetic
gbt_av,suit,5,20,1.0,synthetic
gbt_av,high,5,12,1.0,synthetic
gbt_av,low,5,18,1.0,synthetic
constrained_ols_av,suit,5,35,1.0,synthetic
constrained_ols_av,high,5,5,1.0,synthetic
constrained_ols_av,low,5,10,1.0,synthetic
selected_ols_av,suit,5,33,1.0,synthetic
selected_ols_av,high,5,4,1.0,synthetic
selected_ols_av,low,5,13,1.0,synthetic
full_ols_av,suit,5,50,1.0,synthetic
stricthellraiser,suit,5,50,1.0,synthetic
rankthetank,suit,5,50,1.0,synthetic
anchor_hybrid_r0_full,suit,5,37,1.0,synthetic
anchor_hybrid_r0_full,high,5,5,1.0,synthetic
anchor_hybrid_r0_full,low,5,3,1.0,synthetic
