model,tier,mean_delta,mean_win_rate,n_opponents
anchor_hybrid_r0_full,smart,-0.3206,0.4638,4
anchor_hybrid_r0_full,heuristic,4.606,0.6147,3
constrained_ols_av,smart,0.0943,0.4208,3
constrained_ols_av,anchor,-0.05,0.3684,1
constrained_ols_av,heuristic,3.4328,0.4901,3
full_ols_av,smart,-1.1136,0.27,3
full_ols_av,anchor,0.0916,0.3864,1
full_ols_av,heuristic,3.4955,0.502,3
gbt_av,smart,1.4621,0.6185,4
gbt_av,anchor,0.5788,0.5072,1
gbt_av,heuristic,4.5083,0.664,3
modeloespecifico,smart,0.8945,0.5658,4
modeloespecifico,anchor,0.232,0.4548,1
modeloespecifico,heuristic,7.536,0.7172,2
rankthetank,smart,-10.52,0.1024,4
rankthetank,anchor,-10.4936,0.1024,1
rankthetank,heuristic,0.7938,0.5086,2
selected_ols_av,smart,0.0228,0.4115,3
selected_ols_av,anchor,0.024,0.3808,1
selected_ols_av,heuristic,3.5601,0.4935,3
selected_two_stage_av,smart,0.8437,0.5493,3
selected_two_stage_av,anchor,0.114,0.4144,1
selected_two_stage_av,heuristic,4.2125,0.5795,3
stricthellraiser,smart,-2.0023,0.3979,4
stricthellraiser,anchor,-4.5468,0.308,1
stricthellraiser,heuristic,-8.83,0.2102,2
