model,net_eppd,eppd,bid_rate,pass_rate,make_rate,cvar_5,net_cvar_5,mix_suit,mix_high,mix_low,source
modeloespecifico,1.6044,5.5928,1.0,0.0,0.9468,-4.612,-11.152,0.94,0.028,0.032,comparator
selected_two_stage_av,1.954,5.9654,1.0,0.0,0.996,2.244,-5.048,0.9692,0.0128,0.018,comparator
gbt_av,1.939,5.8238,0.9954,0.0046,0.9739,-1.5282,-8.1089,0.7308,0.1036,0.1656,comparator
full_ols_av,2.298,6.149,1.0,0.0,1.0,2.812,-4.376,0.7244,0.0916,0.184,comparator
modeloespecifico,4.6906,,0.488,0.512,0.9287,-3.26,,0.94,0.028,0.032,h2h_self_play
selected_two_stage_av,4.5978,,0.5012,0.4988,0.913,-4.588,,0.9692,0.0128,0.018,h2h_self_play
gbt_av,4.5882,,0.5092,0.4908,0.9144,-4.648,,0.7308,0.1036,0.1656,h2h_self_play
constrained_ols_av,4.9456,,0.5028,0.4972,0.9841,0.312,,0.7748,0.0552,0.17,h2h_self_play
selected_ols_av,4.9516,,0.4988,0.5012,0.9832,0.36,,0.768,0.0884,0.1436,h2h_self_play
full_ols_av,4.9574,,0.4968,0.5032,0.9903,0.488,,0.7244,0.0916,0.184,h2h_self_play
stricthellraiser,2.2032,,0.5072,0.4928,0.4306,-6.0,,1.0,0.0,0.0,h2h_self_play
rankthetank,-1.6218,,0.4756,0.5244,0.1102,-9.516,,1.0,0.0,0.0,h2h_self_play
anchor_hybrid_r0_full,3.5846,,0.4024,0.5976,0.8539,-5.908,,0.7686,0.0976,0.1337,h2h_self_play
